,precision,recall,f1-score,support
burgerking,0.69377990430622,0.6904761904761905,0.6921241050119332,210.0
eggdrop,0.831275720164609,0.905829596412556,0.8669527896995708,223.0
hongruijian,0.8874458874458875,0.9276018099547512,0.9070796460176991,221.0
knotted,0.8356807511737089,0.8436018957345972,0.839622641509434,211.0
lotteria,0.7303370786516854,0.6190476190476191,0.6701030927835051,210.0
monchouchou,0.9242424242424242,0.8714285714285714,0.8970588235294118,210.0
shakeshack,0.8655913978494624,0.7630331753554502,0.8110831234256927,211.0
subway,0.7973568281938326,0.8537735849056604,0.8246013667425968,212.0
twosome,0.808695652173913,0.8985507246376812,0.851258581235698,207.0
accuracy,0.8203655352480418,0.8203655352480418,0.8203655352480418,0.8203655352480418
macro avg,0.8193784049113049,0.8192603519947864,0.817764907772838,1915.0
weighted avg,0.8198765395589033,0.8203655352480418,0.8185744495131415,1915.0
